n	lemma	count	status	approvals
270	ἱμάτιον	60		
271	ὑπάρχω	60		
272	Δαυίδ	59		
273	συνάγω	59		
274	χαρά	59		
275	εὐθύς	59		
276	ἀσπάζομαι	59		
277	λίθος	58		
278	διδάσκαλος	58		
279	θεωρέω	58		
280	μηδέ	57		
281	τοιοῦτος	57		
282	συναγωγή	56		
283	δέχομαι	56		
284	μέσος	56		
285	ἐπερωτάω	56		
286	κράζω	55		
287	τρίτος	55		
288	ἀρχή	55		
289	λοιπός	55		
290	Πιλᾶτος	55		
291	δεξιός	54		
292	εὐαγγελίζω	54		
293	χρόνος	53		
294	ὅπως	53		
295	οὐχί	53		
296	διό	53		
297	ἐλπίς	53		
298	παιδίον	52		
299	ἔσχατος	52		
300	σπείρω	52		
301	πείθω	52		
302	ἐπαγγελία	52		
303	ποῦ	51		
304	σοφία	51		
305	μακάριος	50		
306	τυφλός	50		
307	παραβολή	50		
308	κακός	50		
309	γλῶσσα	50		
310	παραλαμβάνω	49		
311	χρεία	49		
312	ἄρα	49		
313	ἔτος	49		
314	γραφή	49		
315	ἔρημος	48		
316	ἔμπροσθεν	48		
317	ἀποδίδωμι	48		
318	φανερόω	48		
319	προσφέρω	47		
320	πρό	47		
321	κρίσις	47		
322	φυλακή	47		
323	ἁμαρτωλός	47		
324	κρατέω	47		
325	φόβος	47		
326	οὐκέτι	47		
327	ἄχρι	47		
328	μικρός	46		
329	οὐαί	46		
330	σταυρόω	46		
331	θηρίον	46		
332	σωτηρία	46		
333	ἀπαγγέλλω	45		
334	καθίζω	45		
335	διώκω	45		
336	ὅμοιος	45		
337	θλῖψις	45		
338	ναός	45		
339	Ἰούδας	44		
340	Ἰουδαία	44		
341	κατοικέω	44		
342	ἱερός	44		
343	ἐπιγινώσκω	44		
344	δεύτερος	44		
345	γενεά	43		
346	Ἡρῴδης	43		
347	σεαυτοῦ	43		
348	θεραπεύω	43		
349	θαυμάζω	43		
350	σπέρμα	43		
351	φωνέω	43		
352	μέρος	42		
353	ἐγγίζω	42		
354	Ἰάκωβος	42		
355	λύω	42		
356	καινός	42		
357	χωρίς	42		
358	πάσχω	42		
359	ἁμαρτάνω	42		
360	ἀνάστασις	42		
361	ἄξιος	41		
362	σήμερον	41		
363	ὀλίγος	41		
364	ἐργάζομαι	41		
365	διέρχομαι	41		
366	εὐλογέω	41		
367	πάντοτε	41		
368	παρίστημι	41		
369	τιμή	41		
370	κλαίω	40		
371	ἑτοιμάζω	40		
372	ἱκανός	40		
373	μισέω	40		
374	οἰκοδομέω	40		
375	μνημεῖον	40		
376	τέλος	40		
377	τέσσαρες	40		
378	λογίζομαι	40		
379	περισσεύω	39		
380	θύρα	39		
381	πρόβατον	39		
382	ἅπτω	39		
383	ἐπιτίθημι	39		
384	δικαιόω	39		
385	πλανάω	39		
386	πέντε	38		
387	εὐχαριστέω	38		
388	ἐπιθυμία	38		
389	ὑποτάσσω	38		
390	πράσσω	38		
391	βούλομαι	37		
392	πειράζω	37		
393	διακονέω	37		
394	ἐμαυτοῦ	37		
395	ἄρχων	37		
396	μαρτυρία	37		
397	παραγίνομαι	36		
398	ὀργή	36		
399	ἄρτι	36		
400	Σατανᾶς	36		
401	ὥσπερ	36		
402	ἀγρός	36		
403	Φίλιππος	36		
404	ἐπιστρέφω	36		
405	οὖς	36		
406	καλῶς	36		
407	προσευχή	36		
408	περιτομή	36		
409	καυχάομαι	36		
410	Ἰωσήφ	35		
411	ὀπίσω	35		
412	διάβολος	35		
413	εὐθέως	35		
414	μάρτυς	35		
415	ὀφείλω	35		
416	ὑποστρέφω	35		
417	μετανοέω	34		
418	πτωχός	34		
419	μέλος	34		
420	μήτε	34		
421	βλασφημέω	34		
422	οἶνος	34		
423	ἀσθενέω	34		
424	βιβλίον	34		
425	διακονία	34		
426	ἐκπορεύομαι	33		
427	δείκνυμι	33		
428	ναί	33		
429	ἀρνέομαι	33		
430	ποῖος	33		
431	διαθήκη	33		
432	ἐλεάω	32		
433	ἐχθρός	32		
434	ἥλιος	32		
435	ἅπας	32		
436	ἀκάθαρτος	32		
437	παραγγέλλω	32		
438	πλήν	32		
439	ἀναγινώσκω	32		
440	δυνατός	32		
441	ὑπομονή	32		
442	φαίνω	31		
443	ἄνεμος	31		
444	καθαρίζω	31		
445	ἱερεύς	31		
446	ποτήριον	31		
447	ἔξεστι(ν)	31		
448	ἐλπίζω	31		
449	φυλάσσω	31		
450	φυλή	31		
451	ὁμοίως	31		
452	πλῆθος	31		
453	παρρησία	31		
454	συνείδησις	31		
455	συνέρχομαι	30		
456	σκανδαλίζω	30		
457	σκότος	30		
458	διδαχή	30		
459	ἐπικαλέω	30		
460	ἀγοράζω	30		
461	ἐγγύς	30		
462	ἴδε	30		
463	ἀρνίον	30		
464	φεύγω	29		
465	ἰσχυρός	29		
466	μισθός	29		
467	παρέρχομαι	29		
468	γαμέω	29		
469	ἐπιτιμάω	29		
470	προσκαλέομαι	29		
471	μάχαιρα	29		
472	Ἠλίας	29		
473	φίλος	29		
474	πόθεν	29		
475	διάκονος	29		
476	ἱερόν	29		
477	Καῖσαρ	29		
478	πάσχα	29		
479	γνῶσις	29		
480	παράκλησις	29		
481	ποτέ	29		
482	Μαρία	28		
483	ἡγέομαι	28		
484	χώρα	28		
485	ἰσχύω	28		
486	ἁγιάζω	28		
487	ἐνδύω	28		
488	προφητεύω	28		
489	τελέω	28		
490	θυσία	28		
491	θυγάτηρ	28		
492	πλούσιος	28		
493	ἀδικέω	28		
494	νικάω	28		
495	ἀληθινός	28		
496	Βαρναβᾶς	28		
497	Ἰακώβ	27		
498	βαστάζω	27		
499	ἐκεῖθεν	27		
500	πόσος	27		
501	κρίμα	27		
502	ἥκω	27		
503	ἔλεος	27		
504	ἐκχέω	27		
505	κώμη	27		
506	σταυρός	27		
507	καταργέω	27		
508	καθαρός	26		
509	ὀμνύω	26		
510	δουλεύω	26		
511	ὁμολογέω	26		
512	ἰάομαι	26		
513	στρατιώτης	26		
514	ἀποκαλύπτω	26		
515	μυστήριον	26		
516	Μαριάμ	26		
517	λυπέω	26		
518	οὔπω	26		
519	φρονέω	26		
520	ἐπεί	26		
521	ἀληθής	26		
522	ἀσθενής	26		
523	χήρα	26		
524	πνευματικός	26		
525	οὗ	25		
526	Αἴγυπτος	25		
527	ἀναιρέω	25		
528	δένδρον	25		
529	μήποτε	25		
530	πορνεία	25		
531	λευκός	25		
532	φιλέω	25		
533	σός	25		
534	κελεύω	25		
535	μανθάνω	25		
536	ἀναβλέπω	25		
537	ἀδελφή	25		
538	συνίημι	25		
539	νεφέλη	25		
540	δέκα	25		
541	ἑορτή	25		
542	πάρειμι	25		
543	ἀδικία	25		
544	Ἕλλην	25		
545	ἀστήρ	24		
546	παῖς	24		
547	κεῖμαι	24		
548	ἀκοή	24		
549	προσέχω	24		
550	ἀσθένεια	24		
551	πίμπλημι	24		
552	παρουσία	24		
553	σωτήρ	24		
554	γνωρίζω	24		
555	νοῦς	24		
556	ἐπιστολή	24		
557	Τιμόθεος	24		
558	ἀνάγω	23		
559	πεινάω	23		
560	καταλείπω	23		
561	πέραν	23		
562	θυσιαστήριον	23		
563	μιμνῄσκομαι	23		
564	θεάομαι	23		
565	κοπιάω	23		
566	περιβάλλω	23		
567	νέος	23		
568	σκεῦος	23		
569	κοιλία	23		
570	ἄπιστος	23		
571	ἐλεύθερος	23		
572	κωλύω	23		
573	ἀμπελών	23		
574	ἐκλεκτός	23		
575	εἰκών	23		
576	διότι	23		
577	τελειόω	23		
578	χαρίζομαι	23		
579	χιλιάς	23		
580	ζῷον	23		
581	ἀντί	22		
582	Ἠσαΐας	22		
583	μετάνοια	22		
584	τεσσεράκοντα	22		
585	συνέδριον	22		
586	καθεύδω	22		
587	πωλέω	22		
588	κατηγορέω	22		
589	πλοῦτος	22		
590	κἀκεῖνος	22		
591	γρηγορέω	22		
592	ἀγνοέω	22		
593	ἐκλέγομαι	22		
594	πληγή	22		
595	δοκιμάζω	22		
596	Μακεδονία	22		
597	κατεργάζομαι	22		
598	βασιλεύω	21		
599	εὐδοκέω	21		
600	λατρεύω	21		
601	στρέφω	21		
602	τελώνης	21		
603	πειρασμός	21		
604	θερίζω	21		
605	αὐξάνω	21		
606	ὑπακούω	21		
607	ἐνεργέω	21		
608	τιμάω	21		
609	διδασκαλία	21		
610	μνημονεύω	21		
611	μηκέτι	21		
612	καθίστημι	21		
613	χιλίαρχος	21		
614	ἐφίστημι	21		
615	Ἰσαάκ	20		
616	ἡγεμών	20		
617	προάγω	20		
618	ὡσεί	20		
619	νηστεύω	20		
620	ἕνεκεν	20		
621	ὑπηρέτης	20		
622	γέ	20		
623	ἰχθύς	20		
624	μαρτύριον	20		
625	τοσοῦτος	20		
626	γονεύς	20		
627	ὑψόω	20		
628	γένος	20		
629	σκηνή	20		
630	αἰτία	20		
631	ἀργύριον	20		
632	ξύλον	20		
633	τρέχω	20		
634	ἀκροβυστία	20		
635	νυνί	20		
636	ἐπίγνωσις	20		
637	ἐπάνω	19		
638	δῶρον	19		
639	βάπτισμα	19		
640	κρύπτω	19		
641	κριτής	19		
642	τέλειος	19		
643	ἀπέχω	19		
644	παράπτωμα	19		
645	μεριμνάω	19		
646	παλαιός	19		
647	σοφός	19		
648	προφητεία	19		
649	παρατίθημι	19		
650	ἐπιλαμβάνομαι	19		
651	διακρίνω	19		
652	ἐπαίρω	19		
653	πότε	19		
654	γεωργός	19		
655	κτίσις	19		
656	μήν	19		
657	ἐπουράνιος	19		
658	κοινωνία	19		
659	κρείττων	19		
660	τίκτω	18		
661	κληρονομέω	18		
662	προστίθημι	18		
663	ἀπώλεια	18		
664	ἐπιτρέπω	18		
665	ἐπιβάλλω	18		
666	ποιμήν	18		
667	μέχρι(ς)	18		
668	φανερός	18		
669	βλασφημία	18		
670	ἀληθῶς	18		
671	εἰσπορεύομαι	18		
672	πολλάκις	18		
673	ἐλέγχω	18		
674	παραχρῆμα	18		
675	οἰκοδομή	18		
676	πόλεμος	18		
677	κόπος	18		
678	πυλών	18		
679	στέφανος	18		
680	κοιμάομαι	18		
681	κενός	18		
682	δέησις	18		
683	θυμός	18		
684	ἀριθμός	18		
685	Ἀσία	18		
686	καταγγέλλω	18		
687	Ἀντιόχεια	18		
688	ταράσσω	17		
689	θησαυρός	17		
690	ποταμός	17		
691	ῥίζα	17		
