n	lemma	count	status	approvals
921	βασανίζω	12		
922	μεταβαίνω	12		
923	ἀσκός	12		
924	ῥάβδος	12		
925	οἰκοδεσπότης	12		
926	κάλαμος	12		
927	ἀναπαύω	12		
928	πρόθεσις	12		
929	ἀναπίπτω	12		
930	πρωΐ	12		
931	προσλαμβάνομαι	12		
932	ὅραμα	12		
933	κολλάομαι	12		
934	ἐλαία	12		
935	πῶλος	12		
936	Βηθανία	12		
937	πόρνη	12		
938	διάνοια	12		
939	λιμός	12		
940	πληθύνω	12		
941	αὐλή	12		
942	ἀλέκτωρ	12		
943	τρίς	12		
944	βῆμα	12		
945	Μαγδαληνή	12		
946	κατάκειμαι	12		
947	βροντή	12		
948	σπουδή	12		
949	παραιτέομαι	12		
950	γόνυ	12		
951	ἐξάγω	12		
952	ἔθος	12		
953	κράτος	12		
954	πλουτέω	12		
955	ὑγιαίνω	12		
956	βουλή	12		
957	δέομαι	12		
958	τυγχάνω	12		
959	πιάζω	12		
960	Ῥωμαῖος	12		
961	χρυσίον	12		
962	μάλιστα	12		
963	περισσοτέρως	12		
964	φιάλη	12		
965	ἀνατολή	11		
966	ποιμαίνω	11		
967	σφόδρα	11		
968	τελευτάω	11		
969	κατακαίω	11		
970	ὑψηλός	11		
971	νόσος	11		
972	ἀγαλλιάω	11		
973	ῥέω	11		
974	ἀρχαῖος	11		
975	χιτών	11		
976	βρῶσις	11		
977	ἐμβλέπω	11		
978	κακία	11		
979	μετρέω	11		
980	ψευδοπροφήτης	11		
981	θάπτω	11		
982	μακρός	11		
983	χείρων	11		
984	σπλαγχνίζομαι	11		
985	Θωμᾶς	11		
986	θανατόω	11		
987	κατασκευάζω	11		
988	ἀγορά	11		
989	Τύρος	11		
990	ὑγιής	11		
991	τριάκοντα	11		
992	κλάδος	11		
993	καταβολή	11		
994	ἀπιστία	11		
995	φυτεύω	11		
996	ἀπαρνέομαι	11		
997	πρᾶγμα	11		
998	ὑποκάτω	11		
999	γέμω	11		
1000	Ζαχαρίας	11		
1001	σάλπιγξ	11		
1002	ἐάω	11		
1003	ἔλαιον	11		
1004	ἐπισκέπτομαι	11		
1005	δόλος	11		
1006	Γαλιλαῖος	11		
1007	Βαραββᾶς	11		
1008	διαμερίζω	11		
1009	κλῆρος	11		
1010	σχίζω	11		
1011	κράβαττος	11		
1012	ἐπιπίπτω	11		
1013	ἅλυσις	11		
1014	πηγή	11		
1015	συγγενής	11		
1016	ἐπαισχύνομαι	11		
1017	κέρας	11		
1018	σπλάγχνον	11		
1019	εἰσάγω	11		
1020	ἀντιλέγω	11		
1021	λίμνη	11		
1022	ὑμέτερος	11		
1023	φωτίζω	11		
1024	ἄφρων	11		
1025	εἴκοσι(ν)	11		
1026	Σαμάρεια	11		
1027	ἐξουθενέω	11		
1028	δωρεά	11		
1029	ζῳοποιέω	11		
1030	πρότερος	11		
1031	καί	11		
1032	δέ	11		
1033	ὁμοθυμαδόν	11		
1034	Ἁνανίας	11		
1035	ζηλόω	11		
1036	εἴδωλον	11		
1037	Ἀγρίππας	11		
1038	χράομαι	11		
1039	ἐνδείκνυμι	11		
1040	ἔπαινος	11		
1041	καύχησις	11		
1042	καύχημα	11		
1043	ἐλευθερία	11		
1044	κλῆσις	11		
1045	πραΰτης	11		
1046	σπουδάζω	11		
1047	χίλιοι	11		
1048	βίβλος	10		
1049	χρυσός	10		
1050	ἐξομολογέω	10		
1051	ἐκκόπτω	10		
1052	ὑπόδημα	10		
1053	περιστερά	10		
1054	ποικίλος	10		
1055	παραλυτικός	10		
1056	πενθέω	10		
1057	ὀνειδίζω	10		
1058	ἔνοχος	10		
1059	κἀκεῖ	10		
1060	ὅρκος	10		
1061	πύλη	10		
1062	θλίβω	10		
1063	ὑπαντάω	10		
1064	παράγω	10		
1065	ᾅδης	10		
1066	κοσμέω	10		
1067	διωγμός	10		
1068	ἅμα	10		
1069	ἀφορίζω	10		
1070	τέταρτος	10		
1071	σέβομαι	10		
1072	χωρέω	10		
1073	ἀναφέρω	10		
1074	μακροθυμέω	10		
1075	σύνδουλος	10		
1076	νεανίσκος	10		
1077	ἀδύνατος	10		
1078	ἔνατος	10		
1079	σιωπάω	10		
1080	κλητός	10		
1081	μέλει	10		
1082	ἀσπασμός	10		
1083	ἀκαθαρσία	10		
1084	κοινωνός	10		
1085	κομίζω	10		
1086	πατάσσω	10		
1087	χωρίον	10		
1088	ἀφαιρέω	10		
1089	ἐγκαταλείπω	10		
1090	ἐμφανίζω	10		
1091	πλάνη	10		
1092	συζητέω	10		
1093	ἐπιτάσσω	10		
1094	ἀγαθοποιέω	10		
1095	προσκαρτερέω	10		
1096	πλεονεξία	10		
1097	ἀσέλγεια	10		
1098	ἀπολαμβάνω	10		
1099	κἀκεῖθεν	10		
1100	ὄντως	10		
1101	ἰσχύς	10		
1102	βίος	10		
1103	δικαίωμα	10		
1104	δεσπότης	10		
1105	ἐντεῦθεν	10		
1106	ἐπειδή	10		
1107	δάκρυον	10		
1108	ὅδε	10		
1109	ἀπολογέομαι	10		
1110	οἰκονόμος	10		
1111	ταχέως	10		
1112	ἀπολύτρωσις	10		
1113	στρατηγός	10		
1114	ἀναστρέφω	10		
1115	ψεῦδος	10		
1116	ψεύστης	10		
1117	Ἰόππη	10		
1118	ξενίζω	10		
1119	ἐκπίπτω	10		
1120	Ἀχαΐα	10		
